"id","Species","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
"S001","setosa",4.74651004767612,3.30153202336238,1.44151069041796,0.23485067916628
"S002","setosa",5.07202224018441,3.67813319722033,1.20814381984841,0.11142547772813
"S003","setosa",5.24104380428053,3.44204880999436,1.58542559265124,0.405402603700097
"S004","setosa",5.47531082705169,3.96021466805863,1.53343394557587,0.272426579234709
"S005","setosa",4.90048145153003,2.80645046673791,1.48637840955451,0.345257761269344
"S006","setosa",5.58062060290296,3.85773375880643,1.87531644292821,0.306099670463552
"S007","setosa",4.85098578259546,3.17240434007987,1.33971339920987,0.106602758113149
"S008","setosa",5.66013213252422,3.70385802139337,1.49439298359402,0.254585604271809
"S009","setosa",4.72957962779023,3.05788149612908,1.1353056534721,0.0178069142041286
"S010","setosa",5.21938312318275,3.54659042393261,1.48249378274421,0.256092830543224
"S011","setosa",5.84358071618154,4.81000440564116,1.70750624319705,0.235595909102058
"S012","setosa",5.17606117520485,3.93674164856588,1.48281148875212,0.295142052212422
"S013","setosa",5.74628440349807,3.95099114561516,1.70801591484494,0.313169943065998
"S014","setosa",5.03586865415284,3.71207289735834,1.5498684310118,0.334673165262845
"S015","setosa",5.20341173825046,3.70595270731827,1.64157402744958,0.260133098680077
"S016","setosa",5.05724556519149,3.6584783758867,1.449731899986,0.158975748703544
"S017","setosa",5.6557427336441,4.48924638540156,1.55145312664127,0.312979755137298
"S018","setosa",4.74407354775399,3.30811194202062,1.43019420743275,0.227089656009545
"S019","setosa",5.25242632777053,4.06496974650641,1.5670330771029,0.176821173538961
"S020","setosa",4.87632461533947,3.27024253415166,1.45247730701486,0.336041677816742
"S021","setosa",4.57767717425877,2.76723102554656,1.39499321308329,0.163731648333296
"S022","setosa",5.09185832562058,3.73136753976741,1.45100715434871,-0.0337076444876883
"S023","setosa",4.50248403777686,3.53960144247244,1.5240541970807,0.220300759092491
"S024","setosa",5.2309623759674,3.45999361054457,1.47517669440223,0.164377787060378
"S025","setosa",5.4431486644295,3.48045938173111,1.5445846637952,0.257812119728103
"S026","setosa",5.17443764199833,3.34142733617206,1.34640058748447,0.18697545751355
"S027","setosa",5.57146950930396,3.81663031019354,1.63598162514894,0.208434857124376
"S028","setosa",4.84299888357368,3.34205383053784,1.44333916888689,0.194726741757716
"S029","setosa",5.1534635275486,3.60226179390117,1.53076860790608,0.1586314539728
"S030","setosa",5.08406889523605,3.5355562749558,1.55287879435968,0.328305307374955
"S031","setosa",4.80490870105223,3.00682671974396,1.61455737347217,0.0689651524927896
"S032","setosa",4.517352775503,3.18370318934844,1.15925471151847,0.232154558371854
"S033","setosa",5.15843124955769,3.33707858705783,1.39573050174733,0.306334822097824
"S034","setosa",5.05235820169977,3.81777636654882,1.39073842419609,0.425824056514679
"S035","setosa",4.94657358417209,3.36893515547805,1.34587995903716,0.141606250136224
"S036","setosa",5.00080492923161,3.83960626391343,1.39633012091333,0.211272317344665
"S037","setosa",5.00952195246673,3.08136747386587,1.40757917391376,0.208380517320118
"S038","setosa",5.1891870311765,3.41750362112934,1.39341859049934,0.256978821029186
"S039","setosa",5.24023819710112,4.05492301495496,1.55064043529043,0.181686479635942
"S040","setosa",5.06737128910224,3.23307835431426,1.68069824157263,0.201797200205276
"S041","setosa",5.09955769117594,3.77787922207968,1.31044078267739,0.133159606833166
"S042","setosa",5.27840945948534,3.79312485288506,1.26015178942244,0.268285490699019
"S043","setosa",5.18002325436471,3.62579755824312,1.47686995586081,0.253560859808291
"S044","setosa",4.79838546667627,3.64691684052279,1.37433045125566,0.105041283321032
"S045","setosa",4.68422061277541,3.31617687849577,1.58894853454508,0.188023484509519
"S046","setosa",5.41778209353835,3.58660936661121,1.46111658684637,0.215771687517734
"S047","setosa",5.56223767288504,3.65618725625557,1.278908021955,0.197214080194359
"S048","setosa",4.61192315901718,2.96451233688884,1.50057584634205,0.364795018301968
"S049","setosa",4.71026383504739,3.04550764673309,1.57423112208484,0.333301640279777
"S050","setosa",5.50849751711296,3.82967906684142,1.54946888115866,0.485083922518117
"S051","setosa",5.58841716825442,4.12217791958078,1.62847222769011,0.151802028363888
"S052","setosa",5.60233029214586,3.68462080724511,1.76546709498962,0.422753181502123
