Age,Income,Gender,Race,Customer_Satisfaction,Loan_Approval,Marital_Status,Education_Level,Job_Title,Residence_Type,Number_of_Children,Health_Rating,Travel_Frequency,Vehicle_Ownership,Internet_Usage_Hours,Phone_Usage_Hours,Shopping_Frequency,Dietary_Preferences,Political_Orientation,Credit_Score
56,23343,Female,Asian,1,0,Widowed,Bachelor,Artist,Urban,0,1,Rarely,1,2,3,Daily,Non-Vegetarian,Right,520
69,33500,Female,Hispanic,3,1,Widowed,Bachelor,Engineer,Suburban,4,2,Never,1,5,3,Rarely,Vegetarian,Left,372
46,73222,Female,White,2,0,Married,Bachelor,Clerk,Suburban,0,4,Rarely,1,2,1,Monthly,Vegan,Right,345
32,49375,Female,Other,4,1,Single,Bachelor,Doctor,Suburban,1,6,Never,1,3,0,Monthly,Vegetarian,Center,803
60,29662,Female,Hispanic,4,1,Widowed,High School,Manager,Rural,4,8,Often,1,0,0,Daily,Non-Vegetarian,Right,573
25,36964,Male,Hispanic,2,0,Divorced,Master,Artist,Suburban,0,3,Never,1,4,4,Weekly,Vegan,Right,507
38,79638,Male,White,4,1,Widowed,Bachelor,Doctor,Suburban,2,1,Rarely,0,0,4,Weekly,Vegan,Right,423
56,93666,Female,Black,5,0,Married,Master,Engineer,Urban,3,3,Always,0,0,1,Weekly,Vegetarian,Right,309
36,87215,Non-binary,Asian,5,1,Single,Bachelor,Artist,Urban,3,3,Often,0,9,0,Rarely,Non-Vegetarian,Right,628
40,89042,Male,Black,5,1,Married,Bachelor,Doctor,Urban,2,5,Rarely,0,6,1,Daily,Vegetarian,Left,486
28,33284,Female,Other,1,1,Divorced,High School,Artist,Rural,1,4,Often,1,5,4,Daily,Vegetarian,Center,842
28,92789,Female,Hispanic,2,1,Divorced,PhD,Clerk,Suburban,4,4,Often,0,1,4,Weekly,Non-Vegetarian,Left,359
41,81389,Female,White,1,1,Divorced,PhD,Clerk,Urban,3,9,Rarely,0,1,3,Weekly,Non-Vegetarian,Center,741
53,29435,Female,White,4,0,Married,High School,Manager,Urban,2,7,Rarely,0,6,1,Never,Vegetarian,Center,516
57,74340,Female,Asian,1,0,Widowed,Master,Manager,Urban,2,4,Always,0,0,1,Never,Vegan,Center,301
41,64078,Female,Black,4,0,Married,PhD,Clerk,Suburban,1,3,Often,1,1,0,Monthly,Vegetarian,Center,835
20,98832,Female,Asian,4,0,Single,High School,Artist,Suburban,1,6,Often,1,7,0,Monthly,Vegan,Center,655
39,71293,Male,Hispanic,3,1,Widowed,High School,Clerk,Suburban,0,3,Rarely,1,5,3,Daily,Vegetarian,Right,464
19,98781,Female,Asian,5,1,Divorced,PhD,Manager,Rural,3,6,Never,0,1,2,Daily,Non-Vegetarian,Left,390
41,80403,Male,White,4,1,Married,Master,Clerk,Rural,0,9,Rarely,0,6,2,Rarely,Vegan,Left,466
61,49124,Male,White,3,0,Divorced,High School,Clerk,Urban,2,6,Often,0,3,2,Rarely,Non-Vegetarian,Right,506
47,63919,Female,Other,5,1,Divorced,Bachelor,Artist,Suburban,4,4,Rarely,1,1,1,Never,Non-Vegetarian,Center,581
55,55247,Male,Other,4,1,Single,Master,Doctor,Urban,4,5,Always,0,5,1,Monthly,Non-Vegetarian,Left,364
19,82752,Male,Hispanic,4,0,Widowed,Master,Manager,Suburban,1,6,Never,1,8,4,Never,Non-Vegetarian,Right,815
38,76573,Female,Black,1,1,Single,PhD,Artist,Suburban,4,3,Rarely,0,8,1,Never,Non-Vegetarian,Right,456
50,79101,Male,Asian,1,1,Single,PhD,Clerk,Suburban,4,8,Always,1,7,1,Monthly,Vegetarian,Left,605
29,46646,Male,Hispanic,5,0,Single,Bachelor,Clerk,Rural,4,4,Often,0,2,1,Rarely,Vegan,Left,694
39,43049,Female,Other,4,1,Divorced,High School,Doctor,Rural,2,8,Rarely,0,2,3,Monthly,Vegetarian,Center,373
61,99605,Female,Asian,2,1,Single,PhD,Manager,Suburban,4,3,Often,1,1,1,Weekly,Vegetarian,Center,486
42,88385,Male,Other,1,0,Single,PhD,Manager,Urban,4,7,Always,0,4,0,Weekly,Vegetarian,Left,636
66,60158,Female,Asian,5,1,Widowed,Master,Engineer,Suburban,4,9,Often,0,3,0,Weekly,Non-Vegetarian,Center,539
44,85417,Female,Black,4,1,Widowed,PhD,Manager,Suburban,0,4,Always,1,6,4,Daily,Vegetarian,Right,832
